ID,Name,Sex,Age,Height,Weight,Team,NOC,Region,Region (ISO),Games,Year,Season,City,Host country,Host country (ISO),Sport,Event,Medal
31292,Fritz Eccard,M,,,,Unknown,UNK,,,1912 Summer,1912,Summer,Stockholm,Sweden,SWE,Art Competitions,Art Competitions Mixed Architecture,
33094,Logona Esau,M,21.0,163.0,69.0,Tuvalu,TUV,,,2008 Summer,2008,Summer,Beijing,China,CHN,Weightlifting,Weightlifting Men's Lightweight,
34366,"Jasna Fazli-Reed (-Lupulesku-, -Rather)",F,21.0,170.0,56.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Table Tennis,Table Tennis Women's Singles,
34366,"Jasna Fazli-Reed (-Lupulesku-, -Rather)",F,21.0,170.0,56.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Table Tennis,Table Tennis Women's Doubles,
35334,Kire Filipovski,M,19.0,,,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Swimming,Swimming Men's 100 metres Butterfly,
35334,Kire Filipovski,M,19.0,,,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Swimming,Swimming Men's 200 metres Butterfly,
38172,Zoran Galovi,M,24.0,167.0,64.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",
40647,Nora Gjakova,F,23.0,165.0,57.0,Kosovo,KOS,Autonomous,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Judo,Judo Women's Lightweight,
42112,Milo Govedarica,M,28.0,,,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",
43306,Slobodan Gruji,M,18.0,180.0,76.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Table Tennis,Table Tennis Men's Doubles,
44006,Qendrim Guri,M,22.0,175.0,70.0,Kosovo,KOS,Autonomous,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Cycling,"Cycling Men's Road Race, Individual",
44523,Saud Habib,M,37.0,175.0,85.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Shooting,Shooting Men's Skeet,
44851,Musa Hajdari,M,28.0,187.0,74.0,Kosovo,KOS,Autonomous,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Athletics,Athletics Men's 800 metres,
52932,Aleksandra Ivoev,F,18.0,165.0,57.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",
52933,Pajo Ivoevi,M,24.0,178.0,102.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",
55051,Miroslav Joi,M,30.0,,,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Judo,Judo Men's Lightweight,
56058,Dejan Jovkovi,M,24.0,184.0,79.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Athletics,Athletics Men's 200 metres,
56864,Zoran Kalini,M,34.0,196.0,86.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Table Tennis,Table Tennis Men's Singles,
57346,Mladen Kapor,M,25.0,,,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Swimming,Swimming Men's 50 metres Freestyle,
